20120404T143000Z,Chennai Super Kings v Mumbai Indians
20120405T143000Z,Kolkata Knight Riders v Delhi Daredevils
20120406T103000Z,Mumbai Indians v Pune Warriors
20120406T143000Z,Rajasthan Royals v Kings XI Punjab
20120407T103000Z,Royal Challengers Bangalore v Delhi Daredevils
20120407T143000Z,Deccan Chargers v Chennai Super Kings
20120408T103000Z,Rajasthan Royals v Kolkata Knight Riders
20120408T143000Z,Pune Warriors v Kings XI Punjab
20120409T143000Z,Deccan Chargers v Mumbai Indians
20120410T103000Z,Royal Challengers Bangalore v Kolkata Knight Riders
20120410T143000Z,Delhi Daredevils v Chennai Super Kings
20120411T143000Z,Mumbai Indians v Rajasthan Royals
20120412T103000Z,Chennai Super Kings v Royal Challengers Bangalore
20120412T143000Z,Kings XI Punjab v Pune Warriors
20120413T143000Z,Kolkata Knight Riders v Rajasthan Royals
20120414T143000Z,Pune Warriors v Chennai Super Kings
20120415T103000Z,Kolkata Knight Riders v Kings XI Punjab
20120415T143000Z,Royal Challengers Bangalore v Rajasthan Royals
20120416T143000Z,Mumbai Indians v Delhi Daredevils
20120417T103000Z,Rajasthan Royals v Deccan Chargers
20120417T143000Z,Royal Challengers Bangalore v Pune Warriors
20120418T143000Z,Kings XI Punjab v Kolkata Knight Riders
20120419T103000Z,Delhi Daredevils v Deccan Chargers
20120419T143000Z,Chennai Super Kings v Pune Warriors
20120420T143000Z,Kings XI Punjab v Royal Challengers Bangalore
20120421T103000Z,Chennai Super Kings v Rajasthan Royals
20120421T143000Z,Delhi Daredevils v Pune Warriors
20120422T103000Z,Mumbai Indians v Kings XI Punjab
20120422T143000Z,Deccan Chargers v Kolkata Knight Riders
20120423T143000Z,Rajasthan Royals v Royal Challengers Bangalore
20120424T103000Z,Pune Warriors v Delhi Daredevils
20120424T143000Z,Kolkata Knight Riders v Deccan Chargers
20120425T103000Z,Kings XI Punjab v Mumbai Indians
20120425T143000Z,Royal Challengers Bangalore v Chennai Super Kings
20120426T143000Z,Pune Warriors v Deccan Chargers
20120427T143000Z,Delhi Daredevils v Mumbai Indians
20120428T103000Z,Chennai Super Kings v Kings XI Punjab
20120428T143000Z,Kolkata Knight Riders v Royal Challengers Bangalore
20120429T103000Z,Delhi Daredevils v Rajasthan Royals
20120429T143000Z,Mumbai Indians v Deccan Chargers
20120430T143000Z,Chennai Super Kings v Kolkata Knight Riders
20120501T103000Z,Deccan Chargers v Pune Warriors
20120501T143000Z,Rajasthan Royals v Delhi Daredevils
20120502T143000Z,Royal Challengers Bangalore v Kings XI Punjab
20120503T103000Z,Pune Warriors v Mumbai Indians
20120504T143000Z,Chennai Super Kings v Deccan Chargers
20120505T103000Z,Kolkata Knight Riders v Pune Warriors
20120505T143000Z,Kings XI Punjab v Rajasthan Royals
20120506T103000Z,Mumbai Indians v Chennai Super Kings
20120506T143000Z,Royal Challengers Bangalore v Deccan Chargers
20120507T143000Z,Delhi Daredevils v Kolkata Knight Riders
20120508T103000Z,Pune Warriors v Rajasthan Royals
20120508T143000Z,Deccan Chargers v Kings XI Punjab
20120509T143000Z,Mumbai Indians v Royal Challengers Bangalore
20120510T103000Z,Deccan Chargers v Delhi Daredevils
20120510T143000Z,Rajasthan Royals v Chennai Super Kings
20120511T143000Z,Pune Warriors v Royal Challengers Bangalore
20120512T103000Z,Kolkata Knight Riders v Mumbai Indians
20120512T143000Z,Chennai Super Kings v Delhi Daredevils
20120513T103000Z,Rajasthan Royals v Pune Warriors
20120513T143000Z,Kings XI Punjab v Deccan Chargers
20120514T103000Z,Royal Challengers Bangalore v Mumbai Indians
20120514T143000Z,Kolkata Knight Riders v Chennai Super Kings
20120515T143000Z,Delhi Daredevils v Kings XI Punjab
20120516T143000Z,Mumbai Indians v Kolkata Knight Riders
20120517T103000Z,Kings XI Punjab v Chennai Super Kings
20120517T143000Z,Delhi Daredevils v Royal Challengers Bangalore
20120518T143000Z,Deccan Chargers v Rajasthan Royals
20120519T103000Z,Kings XI Punjab v Delhi Daredevils
20120519T143000Z,Pune Warriors v Kolkata Knight Riders
20120520T103000Z,Deccan Chargers v Royal Challengers Bangalore
20120520T143000Z,Rajasthan Royals v Mumbai Indians